# BLASTN 2.12.0+
# Query: MDDBOTU000001
# Database: backbone_blastdb/backbone
# Fields: query id, subject id, % identity, evalue, alignment length, % query coverage per hsp
# 10 hits found
MDDBOTU000001	SH1212593.08FU_EF560673_refs	91.040	1.98e-130	346	90
MDDBOTU000001	SH1212606.08FU_MG797999_reps	90.116	5.54e-126	344	90
MDDBOTU000001	SH1212609.08FU_UDB0766847_reps	88.793	1.56e-116	348	90
MDDBOTU000001	SH1212595.08FU_KR135360_reps	87.826	1.57e-111	345	90
MDDBOTU000001	SH1152822.08FU_AY097042_refs	88.589	5.65e-111	333	87
MDDBOTU000001	SH1212605.08FU_MG496013_reps	87.106	3.40e-108	349	90
MDDBOTU000001	SH1152841.08FU_AB922925_reps	90.099	3.40e-108	303	79
MDDBOTU000001	SH1152826.08FU_EU711613_refs	89.216	7.37e-105	306	79
MDDBOTU000001	SH1226206.08FU_EU644701_refs	87.730	2.65e-104	326	85
MDDBOTU000001	SH1212826.08FU_DQ377387_reps	88.779	1.59e-101	303	79
# BLASTN 2.12.0+
# Query: MDDBOTU000002
# Database: backbone_blastdb/backbone
# Fields: query id, subject id, % identity, evalue, alignment length, % query coverage per hsp
# 10 hits found
MDDBOTU000002	SH1230718.08FU_KP109910_refs	96.390	2.53e-128	277	94
MDDBOTU000002	SH1230714.08FU_AY561221_refs	97.200	2.57e-118	250	84
MDDBOTU000002	SH1230712.08FU_LC095213_refs	95.635	9.31e-113	252	85
MDDBOTU000002	SH1230713.08FU_AF461606_reps	95.582	4.33e-111	249	84
MDDBOTU000002	SH1230721.08FU_UDB004843_reps	95.181	5.60e-110	249	84
MDDBOTU000002	SH1238509.08FU_HQ832843_reps	97.297	1.28e-66	148	50
MDDBOTU000002	SH1238511.08FU_EU020030_reps	87.500	4.62e-66	224	73
MDDBOTU000002	SH1238510.08FU_MT626027_reps	97.279	4.62e-66	147	49
MDDBOTU000002	SH1238508.08FU_KU377561_refs	87.500	4.62e-66	224	73
